ID,A1,A2,A3,B1,B2,B3,C1,C2,C3
PaeAG1_00282,6,3,5,4,3,5,2,4,4
PaeAG1_00283,3,1,2,1,1,2,1,1,1
PaeAG1_00284,1,0,1,0,0,1,0,0,1
PaeAG1_00285,6,4,4,5,4,5,3,4,6
PaeAG1_00286,11,5,5,14,10,16,5,10,10
PaeAG1_00287,16,8,8,27,18,28,10,17,20
PaeAG1_00288,9,5,6,6,4,7,3,6,6
PaeAG1_00289,1,0,0,1,1,1,0,1,1
PaeAG1_00290,2,1,1,2,2,2,1,2,2
PaeAG1_00291,2,1,2,1,1,2,1,1,1
PaeAG1_00292,0,0,0,0,0,0,0,0,0
PaeAG1_00293,2,1,1,1,1,1,1,1,1
PaeAG1_00294,6,3,6,3,3,4,2,3,4
PaeAG1_00295,1,0,0,1,0,1,0,1,1
PaeAG1_00296,1,1,1,1,1,1,1,1,1
PaeAG1_00297,2,1,1,1,1,2,1,1,1
PaeAG1_00298,4,2,2,2,2,3,1,2,2
PaeAG1_00299,1,1,0,1,1,1,1,1,1
PaeAG1_00300,1,1,1,1,1,1,0,1,1
PaeAG1_00301,0,0,0,0,0,0,0,0,0
PaeAG1_00302,6,3,3,2,2,3,1,2,3
PaeAG1_00303,24,9,13,8,7,12,5,7,9
PaeAG1_00304,3,2,2,2,2,3,1,2,2
PaeAG1_00305,1,0,0,0,0,0,0,1,0
PaeAG1_00306,2,1,1,1,1,2,1,1,2
PaeAG1_00307,2,1,1,2,1,2,1,2,2
PaeAG1_00308,6,3,4,2,2,2,1,2,2
PaeAG1_00309,0,0,0,0,0,0,0,0,0
PaeAG1_00310,4,3,2,2,1,2,1,2,2
PaeAG1_00311,7,4,2,3,3,3,2,4,3
PaeAG1_00312,9,4,4,6,5,7,3,6,8
PaeAG1_00313,4,2,3,2,2,2,1,2,2
PaeAG1_00314,9,4,5,13,12,13,6,11,12
PaeAG1_00315,5,3,2,4,3,4,3,5,5
PaeAG1_00316,21,7,9,10,9,14,4,9,9
PaeAG1_00317,2,1,1,1,1,1,0,1,1
PaeAG1_00318,9,4,8,7,6,9,5,9,9
PaeAG1_00319,13,7,10,6,5,8,4,6,6
PaeAG1_00320,9,6,9,5,3,6,4,4,5
PaeAG1_00321,43,21,7,11,10,10,9,16,14
PaeAG1_00322,39,21,11,9,9,9,11,15,13
PaeAG1_00323,1,1,0,0,0,0,0,1,1
PaeAG1_00324,1,1,1,1,1,1,1,1,1
PaeAG1_00325,3,2,1,1,1,1,1,2,1
PaeAG1_00326,3,2,1,1,1,1,1,1,1
PaeAG1_00327,11,7,2,4,4,4,3,6,6
PaeAG1_00328,1,1,1,0,0,1,0,1,1
PaeAG1_00329,0,0,0,0,0,0,0,0,0
PaeAG1_00330,1,1,1,0,0,0,0,0,0
PaeAG1_00331,5,2,2,2,2,3,2,3,3
PaeAG1_00332,1,1,0,1,1,1,0,1,1
PaeAG1_00333,2,1,1,0,0,1,0,1,0
PaeAG1_00334,0,0,0,1,1,1,0,1,1
PaeAG1_00335,17,10,12,10,9,17,9,17,11
PaeAG1_00336,4,2,1,2,2,2,2,2,3
PaeAG1_00337,2,1,1,2,1,2,2,3,4
PaeAG1_00338,3,2,2,1,1,2,1,2,2
PaeAG1_00339,3,2,3,2,2,3,2,3,3
PaeAG1_00340,3,2,1,2,2,2,1,3,2
PaeAG1_00341,3,2,1,2,2,3,1,2,2
PaeAG1_00342,0,0,0,0,0,0,0,0,0
PaeAG1_00343,4,2,2,2,2,3,2,3,3
PaeAG1_00344,1,0,0,0,0,0,0,0,0
PaeAG1_00345,9,5,3,5,4,7,3,6,7
PaeAG1_00346,9,6,3,4,3,8,3,6,6
PaeAG1_00347,3,2,1,1,1,2,1,2,2
PaeAG1_00348,2,1,1,1,1,2,1,1,1
PaeAG1_00349,1,1,1,1,1,1,1,2,2
PaeAG1_00350,2,1,1,2,2,3,1,2,3
PaeAG1_00351,1,1,0,1,1,1,1,1,1
PaeAG1_00352,1,0,0,1,0,1,0,1,1
PaeAG1_00353,1,0,0,0,0,1,0,0,0
PaeAG1_00354,1,0,0,0,0,1,0,0,0
PaeAG1_00355,2,1,0,1,0,1,0,0,0
PaeAG1_00356,6,3,2,3,3,4,1,2,2
PaeAG1_00357,1,1,1,1,1,1,0,1,1
PaeAG1_00358,29,16,17,10,10,11,7,13,13
PaeAG1_00359,0,0,0,0,0,0,0,0,0
PaeAG1_00360,0,0,0,0,0,0,0,0,0
PaeAG1_00361,1,1,0,1,1,1,1,1,1
PaeAG1_00362,3,2,1,4,4,3,1,3,4
PaeAG1_00363,20,11,6,4,3,4,4,8,7
PaeAG1_00364,4,2,1,1,1,1,1,2,2
PaeAG1_00365,0,0,0,0,0,0,0,0,0
PaeAG1_00366,2,1,1,1,1,1,0,1,1
PaeAG1_00367,4,2,1,1,1,1,1,1,1
PaeAG1_00368,27,15,16,13,13,13,12,15,13
PaeAG1_00369,17,11,8,13,14,12,9,13,13
PaeAG1_00370,47,24,13,16,15,16,9,16,14
PaeAG1_00371,40,21,9,17,15,13,9,16,14
PaeAG1_00372,28,13,9,21,17,21,10,19,17
PaeAG1_00373,7,3,1,2,2,2,1,2,2
PaeAG1_00374,29,13,7,13,12,16,7,18,15
PaeAG1_00375,3,2,1,2,1,2,1,2,2
PaeAG1_00376,5,2,2,5,4,4,2,4,4
PaeAG1_00377,1,0,0,0,0,1,0,1,1
PaeAG1_00378,275,134,85,63,59,65,33,65,47
PaeAG1_00379,42,18,22,19,16,16,7,12,10
PaeAG1_00380,6,3,3,1,1,2,1,2,2
PaeAG1_00381,3,2,1,1,1,2,1,2,2
PaeAG1_00382,5,3,2,1,1,2,1,3,2
PaeAG1_00383,4,2,2,1,1,1,1,1,2
PaeAG1_00384,1,0,0,0,0,0,0,0,0
PaeAG1_00385,1,0,0,0,0,1,0,1,1
PaeAG1_00386,7,4,2,4,4,5,2,6,6
PaeAG1_00387,3,2,1,1,1,1,1,2,2
PaeAG1_00388,6,4,2,3,2,3,2,3,3
PaeAG1_00389,8,4,4,11,10,17,5,10,11
PaeAG1_00390,27,15,15,5,5,11,5,9,6
PaeAG1_00391,12,7,6,4,3,5,3,5,4
PaeAG1_00392,11,6,3,9,6,7,3,7,8
PaeAG1_00393,3,2,2,1,1,2,1,2,1
PaeAG1_00394,6,3,3,4,4,5,2,3,5
PaeAG1_00395,1,0,0,0,0,0,0,0,1
PaeAG1_00396,1,0,0,1,0,1,0,1,1
PaeAG1_00397,1,0,0,0,0,0,0,0,0
PaeAG1_00398,4,2,1,3,3,3,2,3,3
PaeAG1_00399,4,3,1,2,3,3,1,3,3
PaeAG1_00400,0,0,0,0,0,0,0,0,0
PaeAG1_00401,2,1,1,2,2,2,1,2,2
PaeAG1_00402,2,1,1,1,1,1,1,1,1
PaeAG1_00403,7,4,3,5,4,5,2,4,5
PaeAG1_00404,108,39,64,106,84,111,39,59,69
PaeAG1_00405,12,7,5,2,3,4,2,4,3
PaeAG1_00406,5,3,2,2,2,3,1,3,3
PaeAG1_00407,12,6,4,7,7,10,3,7,8
PaeAG1_00408,7,4,3,1,2,3,2,2,2
PaeAG1_00409,94,56,48,62,45,66,31,52,57
PaeAG1_00410,2,1,1,1,1,1,0,1,1
PaeAG1_00411,6,4,3,2,2,2,1,2,2
PaeAG1_00412,37,21,18,18,17,23,10,22,19
PaeAG1_00413,9,5,5,6,5,6,2,5,6
PaeAG1_00414,2,2,1,2,1,2,1,2,2
PaeAG1_00415,2,1,1,1,1,1,1,1,1
PaeAG1_00416,2,1,1,1,1,1,1,1,1
PaeAG1_00417,4,2,2,3,2,3,1,3,3
PaeAG1_00418,10,5,5,3,4,5,2,5,3
PaeAG1_00419,4,2,2,3,2,3,1,3,3
PaeAG1_00420,23,14,6,12,8,13,7,15,15
PaeAG1_00421,4,3,1,4,4,5,2,7,7
PaeAG1_00422,2,2,1,2,2,1,1,2,2
PaeAG1_00423,1,0,0,0,0,0,0,0,0
PaeAG1_00424,1,1,0,1,1,1,1,1,1
PaeAG1_00425,0,0,0,0,0,0,0,0,1
PaeAG1_00426,3,2,1,1,1,2,1,2,2
PaeAG1_00427,4,2,1,1,1,1,1,2,2
PaeAG1_00428,1,1,0,0,0,0,0,0,0
PaeAG1_00429,13,6,4,4,4,4,2,4,4
PaeAG1_00430,6,3,2,2,1,2,1,2,2
PaeAG1_00431,18,6,8,38,25,38,10,16,21
PaeAG1_00432,3,2,2,1,1,2,1,1,1
PaeAG1_00433,5,3,2,1,2,2,1,2,2
PaeAG1_00434,2,1,1,1,1,1,1,1,1
PaeAG1_00435,30,10,12,13,13,16,5,13,16
PaeAG1_00436,5,3,2,2,2,2,1,2,3
PaeAG1_00437,2,1,1,0,1,1,0,1,1
PaeAG1_00438,28,12,17,12,10,16,6,9,11
PaeAG1_00439,7,5,5,3,3,6,3,4,3
PaeAG1_00440,1,1,0,1,0,1,0,1,1
PaeAG1_00441,2,1,1,1,1,2,0,1,1
PaeAG1_00442,2,1,1,1,1,1,1,1,1
PaeAG1_00443,90,48,43,49,41,54,22,47,42
PaeAG1_00444,5,3,2,3,2,3,1,3,3
PaeAG1_00445,3,1,1,1,1,1,0,1,1
PaeAG1_00446,2,1,0,1,1,1,0,1,1
PaeAG1_00447,0,0,0,0,0,0,0,0,0
PaeAG1_00448,30,15,6,7,5,8,4,11,7
PaeAG1_00449,5,3,2,1,1,2,1,2,1
PaeAG1_00450,65,39,19,11,9,16,10,21,15
PaeAG1_00451,0,0,0,0,0,0,0,0,0
PaeAG1_00452,8,5,3,7,5,7,2,6,7
PaeAG1_00453,35,25,22,48,36,48,34,67,54
PaeAG1_00454,5,3,2,2,2,3,1,3,3
PaeAG1_00455,1,1,1,0,0,0,0,1,0
PaeAG1_00456,3,2,1,2,1,3,1,2,2
PaeAG1_00457,8,4,2,1,1,3,1,3,2
PaeAG1_00458,8,4,2,1,1,2,1,3,2
PaeAG1_00459,7,5,2,2,2,3,1,3,2
PaeAG1_00460,2,1,1,1,1,1,1,1,1
PaeAG1_00461,3,2,1,1,1,1,1,1,1
PaeAG1_00462,2,1,1,1,1,1,0,1,1
PaeAG1_00463,1,0,0,0,0,0,0,0,0
PaeAG1_00464,138,69,53,72,60,77,46,79,75
PaeAG1_00465,23,10,6,14,11,13,7,14,16
PaeAG1_00466,4,3,1,1,1,2,1,2,1
PaeAG1_00467,6,3,3,1,1,2,1,2,1
PaeAG1_00468,2,1,1,1,1,1,1,1,1
PaeAG1_00469,3,2,1,2,1,2,1,2,2
PaeAG1_00470,7,4,2,3,3,3,2,3,3
PaeAG1_00471,6,4,1,4,4,4,2,4,5
PaeAG1_00472,6,3,3,2,2,3,1,3,3
PaeAG1_00473,8,5,3,3,3,3,2,3,3
PaeAG1_00474,23,12,10,12,12,13,5,10,12
PaeAG1_00475,4,2,2,2,2,2,1,2,2
PaeAG1_00476,6,3,5,4,5,5,2,3,3
PaeAG1_00477,18,11,5,7,6,7,4,10,9
PaeAG1_00478,3,2,1,1,1,1,1,2,1
PaeAG1_00479,56,31,11,10,11,12,6,12,12
PaeAG1_00480,8,4,2,2,1,2,1,2,2
PaeAG1_00481,10,5,4,3,3,4,1,3,3
PaeAG1_00482,0,0,0,0,0,0,0,0,0
PaeAG1_00483,11,7,5,3,3,4,2,4,3
PaeAG1_00484,2,1,1,0,0,1,0,0,0
PaeAG1_00485,26,14,14,13,12,14,8,14,15
PaeAG1_00486,72,33,31,41,28,42,20,36,52
PaeAG1_00487,24,13,12,12,11,14,7,13,14
PaeAG1_00488,9,6,4,4,4,3,2,3,4
PaeAG1_00489,17,10,7,7,7,7,3,6,6
PaeAG1_00490,5,3,2,4,4,3,1,4,4
PaeAG1_00491,117,73,39,50,43,37,17,33,35
PaeAG1_00492,37,20,12,13,12,8,4,7,9
PaeAG1_00493,8,5,2,2,3,2,1,2,2
PaeAG1_00494,1,1,0,1,1,1,0,1,1
PaeAG1_00495,1,1,1,1,1,1,0,1,1
